"Time	Open	High	Low	Close	Volume",,,,,,,Label
"2021-05-13 20:00:00	1.40542	1.40551	1.40443	1.40457	3744	7",,,,,,,1
"2021-05-14 00:00:00	1.40457	1.40517	1.40359	1.40452	6069	8",,,,,,,1
"2021-05-14 04:00:00	1.40452	1.40763	1.40385	1.40631	11499	8",,,,,,,1
"2021-05-14 08:00:00	1.40631	1.40857	1.40538	1.4077	16709	7",,,,,,,1
"2021-05-14 12:00:00	1.40771	1.41108	1.4073	1.40946	24147	6",,,,,,,1
"2021-05-14 16:00:00	1.40945	1.41037	1.40855	1.40958	7816	7",,,,,,,1
"2021-05-14 20:00:00	1.40959	1.41001	1.40914	1.40945	2690	8",,,,,,,1
"2021-05-17 00:00:00	1.41004	1.41007	1.40777	1.40856	5429	9",,,,,,,1
"2021-05-17 04:00:00	1.40856	1.41191	1.40799	1.40946	12577	7",,,,,,,1
"2021-05-17 08:00:00	1.40946	1.41159	1.40865	1.40917	18070	6",,,,,,,1
"2021-05-17 12:00:00	1.40915	1.41289	1.40769	1.41258	26731	7",,,,,,,1
"2021-05-17 16:00:00	1.41257	1.41465	1.41247	1.41417	7966	7",,,,,,,1
"2021-05-17 20:00:00	1.4142	1.41477	1.41275	1.41475	2794	6",,,,,,,1
"2021-05-18 00:00:00	1.41475	1.41778	1.41451	1.4176	5204	7",,,,,,,1
"2021-05-18 04:00:00	1.41759	1.42031	1.41642	1.42005	10883	7",,,,,,,1
"2021-05-18 08:00:00	1.42005	1.422	1.4183	1.42033	17349	6",,,,,,,1
"2021-05-18 12:00:00	1.42033	1.42154	1.41817	1.41827	24426	7",,,,,,,1
"2021-05-18 16:00:00	1.4183	1.41975	1.41809	1.41895	8870	7",,,,,,,1
"2021-05-18 20:00:00	1.41893	1.4192	1.4183	1.41869	4550	6",,,,,,,1
"2021-05-19 00:00:00	1.41869	1.42002	1.41792	1.41873	5401	8",,,,,,,1
"2021-05-19 04:00:00	1.41874	1.42004	1.41719	1.41755	13363	7",,,,,,,1
"2021-05-19 08:00:00	1.41759	1.41887	1.41414	1.41546	21095	7",,,,,,,1
"2021-05-19 12:00:00	1.41547	1.41805	1.41299	1.41678	33281	7",,,,,,,1
"2021-05-19 16:00:00	1.41678	1.41707	1.40995	1.4119	22108	7",,,,,,,1
"2021-05-19 20:00:00	1.41189	1.41253	1.41038	1.41069	3921	7",,,,,,,1
"2021-05-20 00:00:00	1.41068	1.41212	1.41009	1.41143	8360	7",,,,,,,1
"2021-05-20 04:00:00	1.41139	1.41399	1.41093	1.41381	11448	7",,,,,,,1
"2021-05-20 08:00:00	1.41381	1.41414	1.41021	1.41275	18195	6",,,,,,,1
"2021-05-20 12:00:00	1.41275	1.41829	1.41207	1.41803	24294	7",,,,,,,1
"2021-05-20 16:00:00	1.41803	1.41922	1.41722	1.41894	10155	5",,,,,,,1
"2021-05-20 20:00:00	1.41893	1.41938	1.41837	1.41846	19289	7",,,,,,,1
"2021-05-21 00:00:00	1.41848	1.41917	1.41689	1.41769	5642	7",,,,,,,1
"2021-05-21 04:00:00	1.4177	1.42005	1.41678	1.41813	12004	7",,,,,,,1
"2021-05-21 08:00:00	1.41812	1.42336	1.41802	1.4189	19695	7",,,,,,,0
"2021-05-21 12:00:00	1.4189	1.42076	1.41545	1.41558	28353	6",,,,,,,0
"2021-05-21 16:00:00	1.41557	1.416	1.41401	1.41538	8321	7",,,,,,,0
"2021-05-21 20:00:00	1.41538	1.41572	1.41403	1.41409	2238	7",,,,,,,0
"2021-05-24 00:00:00	1.41397	1.4152	1.4136	1.41452	6744	6",,,,,,,0
"2021-05-24 04:00:00	1.41453	1.41714	1.41443	1.41672	10854	6",,,,,,,0
"2021-05-24 08:00:00	1.41674	1.41694	1.4111	1.41234	21547	7",,,,,,,0
"2021-05-24 12:00:00	1.41237	1.41677	1.41218	1.41463	16837	6",,,,,,,0
"2021-05-24 16:00:00	1.41463	1.41607	1.4146	1.41589	7110	6",,,,,,,0
"2021-05-24 20:00:00	1.41587	1.41599	1.41471	1.41548	4208	6",,,,,,,0
"2021-05-25 00:00:00	1.41549	1.41819	1.41524	1.41791	8809	7",,,,,,,0
"2021-05-25 04:00:00	1.4179	1.42107	1.41708	1.41861	14302	9",,,,,,,0
"2021-05-25 08:00:00	1.4186	1.4194	1.41497	1.41631	18466	7",,,,,,,0
"2021-05-25 12:00:00	1.41631	1.41716	1.41153	1.41221	24307	7",,,,,,,0
"2021-05-25 16:00:00	1.41223	1.41611	1.41177	1.41441	12303	6",,,,,,,0
"2021-05-25 20:00:00	1.41441	1.41511	1.41401	1.41424	9044	7",,,,,,,0
"2021-05-26 00:00:00	1.41424	1.41623	1.41408	1.41613	9333	7",,,,,,,0
"2021-05-26 04:00:00	1.41615	1.41715	1.41328	1.41426	11668	7",,,,,,,0
"2021-05-26 08:00:00	1.41428	1.41758	1.4138	1.41539	15604	7",,,,,,,0
"2021-05-26 12:00:00	1.41533	1.41674	1.41161	1.41286	21328	6",,,,,,,0
"2021-05-26 16:00:00	1.41286	1.4131	1.41119	1.4123	12155	6",,,,,,,0
"2021-05-26 20:00:00	1.41228	1.41249	1.41126	1.41149	4103	7",,,,,,,0
"2021-05-27 00:00:00	1.41146	1.41166	1.40913	1.41151	8307	7",,,,,,,0
"2021-05-27 04:00:00	1.41147	1.41366	1.41003	1.41227	15047	6",,,,,,,0
"2021-05-27 08:00:00	1.41227	1.4183	1.41141	1.41721	23310	7",,,,,,,0
"2021-05-27 12:00:00	1.41722	1.41956	1.4153	1.41712	30564	7",,,,,,,0
"2021-05-27 16:00:00	1.41714	1.42188	1.41686	1.42034	15446	6",,,,,,,0
"2021-05-27 20:00:00	1.42032	1.42083	1.41975	1.42028	4865	6",,,,,,,0
"2021-05-28 00:00:00	1.42029	1.42037	1.4182	1.41932	6756	7",,,,,,,0
"2021-05-28 04:00:00	1.4193	1.41996	1.4173	1.41891	14827	7",,,,,,,0
"2021-05-28 08:00:00	1.41891	1.42053	1.4154	1.41622	20298	7",,,,,,,0
"2021-05-28 12:00:00	1.41622	1.41916	1.4136	1.41875	35262	8",,,,,,,0
"2021-05-28 16:00:00	1.41874	1.41996	1.41865	1.41889	14496	6",,,,,,,0
"2021-05-28 20:00:00	1.41888	1.4195	1.41834	1.41834	2345	7",,,,,,,0
"2021-05-31 00:00:00	1.41791	1.42003	1.41728	1.41961	6308	7",,,,,,,0
"2021-05-31 04:00:00	1.41963	1.41982	1.41745	1.41773	11695	7",,,,,,,0
"2021-05-31 08:00:00	1.41773	1.4185	1.41636	1.41829	17277	6",,,,,,,0
"2021-05-31 12:00:00	1.4183	1.42176	1.4166	1.42123	14532	7",,,,,,,0
"2021-05-31 16:00:00	1.42122	1.42125	1.41996	1.42056	7257	7",,,,,,,0
"2021-05-31 20:00:00	1.42057	1.42284	1.42025	1.42266	4170	15",,,,,,,0
"2021-06-01 00:00:00	1.42265	1.42491	1.42188	1.42369	10552	7",,,,,,,0
"2021-06-01 04:00:00	1.42367	1.4243	1.4212	1.42223	17519	8",,,,,,,0
"2021-06-01 08:00:00	1.42226	1.42249	1.41662	1.41695	23592	7",,,,,,,0
"2021-06-01 12:00:00	1.41693	1.4192	1.4155	1.41668	30595	6",,,,,,,0
"2021-06-01 16:00:00	1.41667	1.41702	1.41507	1.41513	9739	6",,,,,,,0
"2021-06-01 20:00:00	1.41512	1.41555	1.41452	1.41553	4364	7",,,,,,,0
"2021-06-02 00:00:00	1.41552	1.4164	1.41519	1.41594	6337	8",,,,,,,0
"2021-06-02 04:00:00	1.41596	1.41605	1.41283	1.41393	15494	6",,,,,,,0
"2021-06-02 08:00:00	1.41395	1.4147	1.41115	1.41405	25191	7",,,,,,,0
"2021-06-02 12:00:00	1.41403	1.4183	1.41387	1.41759	25952	7",,,,,,,0
"2021-06-02 16:00:00	1.41759	1.41799	1.41627	1.41707	10277	6",,,,,,,0
"2021-06-02 20:00:00	1.41705	1.41756	1.41658	1.41707	2486	7",,,,,,,0
"2021-06-03 00:00:00	1.41709	1.4179	1.41647	1.41693	4997	8",,,,,,,0
"2021-06-03 04:00:00	1.41692	1.41703	1.41431	1.41459	14493	6",,,,,,,0
"2021-06-03 08:00:00	1.41456	1.42026	1.41454	1.41867	32031	6",,,,,,,0
"2021-06-03 12:00:00	1.41867	1.41887	1.40915	1.4099	53183	6",,,,,,,0
"2021-06-03 16:00:00	1.40989	1.41078	1.40861	1.4107	14211	6",,,,,,,0
"2021-06-03 20:00:00	1.41069	1.4112	1.40987	1.41076	3114	7",,,,,,,0
"2021-06-04 00:00:00	1.41077	1.41102	1.40947	1.40969	8129	7",,,,,,,0
"2021-06-04 04:00:00	1.40973	1.41167	1.40827	1.41146	16311	7",,,,,,,0
"2021-06-04 08:00:00	1.41146	1.41317	1.41108	1.413	17440	7",,,,,,,0
"2021-06-04 12:00:00	1.41299	1.42002	1.41295	1.41732	42290	7",,,,,,,0
"2021-06-04 16:00:00	1.4173	1.41751	1.41549	1.41661	8875	5",,,,,,,0
"2021-06-04 20:00:00	1.4166	1.41671	1.41549	1.41553	1445	8",,,,,,,0
"2021-06-07 00:00:00	1.41639	1.417	1.41385	1.41431	9078	6",,,,,,,0
"2021-06-07 04:00:00	1.41432	1.41491	1.4111	1.41347	15262	7",,,,,,,0
"2021-06-07 08:00:00	1.41346	1.41752	1.41177	1.41729	19811	7",,,,,,,0
"2021-06-07 12:00:00	1.41734	1.41851	1.41622	1.41768	23816	6",,,,,,,0
"2021-06-07 16:00:00	1.41768	1.41906	1.41765	1.41826	7437	7",,,,,,,0
"2021-06-07 20:00:00	1.41823	1.41837	1.4175	1.41753	6676	7",,,,,,,0
"2021-06-08 00:00:00	1.41755	1.41843	1.41578	1.41602	7331	6",,,,,,,0
"2021-06-08 04:00:00	1.41601	1.41649	1.41308	1.41386	13313	8",,,,,,,0
"2021-06-08 08:00:00	1.41385	1.41544	1.41281	1.41461	19766	7",,,,,,,0
"2021-06-08 12:00:00	1.41456	1.41584	1.41207	1.41461	27670	7",,,,,,,0
"2021-06-08 16:00:00	1.41461	1.41642	1.41432	1.41561	7478	7",,,,,,,0
"2021-06-08 20:00:00	1.41561	1.41565	1.41436	1.41487	2503	7",,,,,,,0
"2021-06-09 00:00:00	1.41485	1.41682	1.41475	1.41594	5384	8",,,,,,,0
"2021-06-09 04:00:00	1.41597	1.41823	1.41507	1.41723	10880	8",,,,,,,0
"2021-06-09 08:00:00	1.41725	1.4189	1.41644	1.41738	16016	7",,,,,,,0
"2021-06-09 12:00:00	1.41741	1.41749	1.4114	1.41232	24974	8",,,,,,,0
"2021-06-09 16:00:00	1.41232	1.41249	1.41096	1.41105	7712	6",,,,,,,0
"2021-06-09 20:00:00	1.41105	1.41168	1.41094	1.41107	2676	6",,,,,,,0
"2021-06-10 00:00:00	1.41108	1.41246	1.41094	1.41181	5789	8",,,,,,,0
"2021-06-10 04:00:00	1.41182	1.41182	1.4073	1.40875	16825	8",,,,,,,0
"2021-06-10 08:00:00	1.40874	1.411	1.40761	1.4101	26726	9",,,,,,,0
"2021-06-10 12:00:00	1.4101	1.41713	1.40842	1.41644	46118	7",,,,,,,0
"2021-06-10 16:00:00	1.41642	1.41758	1.41559	1.41675	10764	7",,,,,,,0
"2021-06-10 20:00:00	1.41674	1.4178	1.41607	1.417	5163	6",,,,,,,0
"2021-06-11 00:00:00	1.417	1.4179	1.41678	1.41784	7118	7",,,,,,,0
"2021-06-11 04:00:00	1.41783	1.41851	1.41598	1.41671	14670	8",,,,,,,0
"2021-06-11 08:00:00	1.41671	1.41701	1.41416	1.41514	24182	6",,,,,,,0
"2021-06-11 12:00:00	1.41515	1.41584	1.41046	1.41124	25575	7",,,,,,,0
"2021-06-11 16:00:00	1.41122	1.41172	1.40953	1.41158	9524	7",,,,,,,0
"2021-06-11 20:00:00	1.41159	1.41183	1.41028	1.41056	1697	7",,,,,,,0
"2021-06-14 00:00:00	1.41172	1.41183	1.41048	1.41107	7155	10",,,,,,,0
"2021-06-14 04:00:00	1.41105	1.41161	1.40926	1.41017	13943	8",,,,,,,0
"2021-06-14 08:00:00	1.41018	1.41094	1.40699	1.4101	17912	8",,,,,,,0
"2021-06-14 12:00:00	1.41014	1.41237	1.40998	1.41149	21876	6",,,,,,,0
"2021-06-14 16:00:00	1.41147	1.41198	1.41059	1.41086	7078	6",,,,,,,0
"2021-06-14 20:00:00	1.41085	1.41123	1.41031	1.4109	8034	7",,,,,,,0
"2021-06-15 00:00:00	1.4109	1.41164	1.40989	1.41106	7609	11",,,,,,,0
"2021-06-15 04:00:00	1.41105	1.41286	1.41061	1.41154	13720	9",,,,,,,0
"2021-06-15 08:00:00	1.41154	1.41174	1.40341	1.40412	17816	8",,,,,,,0
"2021-06-15 12:00:00	1.40412	1.40943	1.40408	1.40723	23903	6",,,,,,,0
"2021-06-15 16:00:00	1.40724	1.4085	1.40702	1.40819	11709	7",,,,,,,-1
"2021-06-15 20:00:00	1.4082	1.40855	1.40781	1.40804	4294	8",,,,,,,-1
"2021-06-16 00:00:00	1.40803	1.40846	1.40761	1.40819	6082	10",,,,,,,-1
"2021-06-16 04:00:00	1.40819	1.41229	1.40813	1.41174	15655	9",,,,,,,-1
"2021-06-16 08:00:00	1.41173	1.41195	1.40986	1.4116	17631	7",,,,,,,-1
"2021-06-16 12:00:00	1.41161	1.41324	1.40998	1.41084	18992	7",,,,,,,-1
"2021-06-16 16:00:00	1.41083	1.41134	1.39954	1.39965	47486	6",,,,,,,-1
"2021-06-16 20:00:00	1.39968	1.40007	1.39802	1.39886	11147	8",,,,,,,-1
"2021-06-17 00:00:00	1.39887	1.4003	1.39705	1.39917	12902	8",,,,,,,-1
"2021-06-17 04:00:00	1.39915	1.40085	1.39657	1.39742	21650	6",,,,,,,-1
"2021-06-17 08:00:00	1.3974	1.39962	1.39336	1.39471	27749	7",,,,,,,-1
"2021-06-17 12:00:00	1.39468	1.39622	1.39086	1.39151	31025	6",,,,,,,-1
"2021-06-17 16:00:00	1.39152	1.3935	1.38955	1.39197	18331	6",,,,,,,-1
"2021-06-17 20:00:00	1.39192	1.3939	1.39175	1.39374	4645	8",,,,,,,-1
"2021-06-18 00:00:00	1.39375	1.3944	1.39253	1.39263	11624	9",,,,,,,-1
"2021-06-18 04:00:00	1.3926	1.39277	1.38546	1.38897	21897	9",,,,,,,-1
"2021-06-18 08:00:00	1.38896	1.39102	1.38695	1.38905	20635	7",,,,,,,-1
"2021-06-18 12:00:00	1.38904	1.38909	1.37949	1.38156	49718	7",,,,,,,-1
"2021-06-18 16:00:00	1.38156	1.38328	1.38078	1.38089	18106	8",,,,,,,-1
"2021-06-18 20:00:00	1.38088	1.3813	1.37914	1.38003	5415	8",,,,,,,-1
"2021-06-21 00:00:00	1.38159	1.38289	1.37859	1.37941	15621	10",,,,,,,-1
"2021-06-21 04:00:00	1.37946	1.38342	1.37893	1.3833	22335	9",,,,,,,-1
"2021-06-21 08:00:00	1.38326	1.38875	1.38317	1.38763	27924	8",,,,,,,-1
"2021-06-21 12:00:00	1.38766	1.39189	1.38665	1.39135	32918	8",,,,,,,-1
"2021-06-21 16:00:00	1.39137	1.39366	1.39125	1.39316	14306	7",,,,,,,-1
"2021-06-21 20:00:00	1.39316	1.39369	1.39236	1.39238	4284	7",,,,,,,-1
"2021-06-22 00:00:00	1.39237	1.39249	1.39007	1.39131	7158	10",,,,,,,-1
"2021-06-22 04:00:00	1.39129	1.39168	1.38777	1.38852	17784	9",,,,,,,-1
"2021-06-22 08:00:00	1.38853	1.39087	1.386	1.39001	20076	7",,,,,,,-1
"2021-06-22 12:00:00	1.39001	1.39302	1.38798	1.39199	24253	8",,,,,,,-1
"2021-06-22 16:00:00	1.39197	1.39633	1.39189	1.39494	13432	7",,,,,,,-1
"2021-06-22 20:00:00	1.39493	1.39558	1.39298	1.39488	4659	7",,,,,,,-1
"2021-06-23 00:00:00	1.39486	1.39524	1.39237	1.393	9582	9",,,,,,,-1
"2021-06-23 04:00:00	1.39301	1.39872	1.3924	1.39791	15609	10",,,,,,,-1
"2021-06-23 08:00:00	1.39791	1.39838	1.39529	1.39713	21306	8",,,,,,,-1
"2021-06-23 12:00:00	1.39715	1.40011	1.39578	1.39757	23346	8",,,,,,,-1
"2021-06-23 16:00:00	1.39758	1.39799	1.39514	1.39582	10674	7",,,,,,,-1
"2021-06-23 20:00:00	1.39584	1.39686	1.39564	1.39663	6223	7",,,,,,,-1
"2021-06-24 00:00:00	1.39664	1.39679	1.39509	1.3955	9891	11",,,,,,,-1
"2021-06-24 04:00:00	1.39548	1.39736	1.39483	1.3956	13429	10",,,,,,,-1
"2021-06-24 08:00:00	1.39561	1.39863	1.39046	1.39109	29717	8",,,,,,,-1
"2021-06-24 12:00:00	1.39109	1.39299	1.38892	1.39063	27697	8",,,,,,,-1
"2021-06-24 16:00:00	1.39063	1.39361	1.39038	1.39352	13097	8",,,,,,,-1
"2021-06-24 20:00:00	1.39352	1.39388	1.39157	1.39157	5093	8",,,,,,,-1
"2021-06-25 00:00:00	1.39158	1.39351	1.39126	1.39291	6841	11",,,,,,,-1
